Problem,Specialist
"আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় অনেক ভাড়ি কিছু চাপ দিচ্ছে বুকে।",Cardiologist
"আমার পিঠে, ঘাড়, কাঁধ, বুক ব্যথা করে। ",Cardiologist
"আমার বুকে ব্যথা শুরু হলে প্রায় কয়েক মিনিটের মত এই ব্যথা থাকে আর আস্তে আস্তে বাড়তে থাকে। তখন শ্বাস নিতে অনেক কষ্ট হয়।",Cardiologist
"আমি সিঁড়ি বেয়ে উঠতে গেলে অনেক শ্বাস কষ্ট হয় আর বুকে ব্যথা হয়।",Cardiologist
"আমার মায়ের হঠাৎ করে অনেক বুকে ব্যথা হয় আর মা তখন অনেক ঘামতে থাকেন আর হাত-পা ঠান্ডা হয়ে আসে।",Cardiologist
"আমার মেয়ের অনেক বুকে ব্যথা হয় আর বমির ভাব হয়। কিছু খেতে চায় না, বলে খেলেই বমি হবে। কাশি দেওয়ার সময় বুকে অনেক ব্যথা করে। আর ওর শরীর অনেক দূর্বল হয়ে গিয়েছে।",Cardiologist
"আমার খুশখুশে কাশি হয় আর কফ অনেক ঘন হয়। সাথে অনেক সময় রক্তও পরে।",Cardiologist
"আমার প্রায়ই প্রচুর বুকে ব্যথা করে",Cardiologist
"আমারহঠাৎ করে বুকে ব্যথা করে তখন প্রায় ৫ থেকে ১০ মিনিটের মত ব্যথা থাকে। যন্ত্রণায় আমি ঘামতে থাকি",Cardiologist
"আমার দাদার হার্টে ২ টা ব্লক ছিলো। এখন দাদা ব্যথার কারনে ঠিকমত চলতে পারে না",Cardiologist
"আমার মেয়ে কিছুক্ষন হাঁটলে হাঁপাতে থাকে। ঠিকমত শ্বাস নিতে পারে না",Cardiologist
"আমার মায়ের বুকে অনেক ব্যথা করে",Cardiologist
"আমার নানুর হার্টে প্যাসকেল লাগানো ছিলো কিন্তু নানুর বুকে ব্যথা কমে নাই",Cardiologist
"আমার প্রচন্ড বুকে ব্যথা করে আর জোরে হাঁটতে গেলে বুক ধরফর করে",Cardiologist
"আমার দাদুর হার্টে ব্লক ধরা পরেছিল। রিং পরানোর পরেও দাদুর বুকে ব্যথা করে",Cardiologist
