Problem,Specialist
"আমার পিরিয়ড নিয়মিত হয় না।",Gynecologist
"পিরিয়ডের সময় পেটে অনেক ব্যথা হয়।",Gynecologist
"আমার সাদা স্রাবের সমস্যা আছে।",Gynecologist
"আমার তলপেটে সবসময় ব্যথা থাকে।",Gynecologist
"আমার স্তনে চাকা অনুভূত হয়।",Gynecologist
"আমার বাচ্চা নিতে সমস্যা হচ্ছে।",Gynecologist
"আমি গর্ভবতী কিনা পরীক্ষা করতে চাই।",Gynecologist
"আমার যোনিপথে চুলকানি হয়।",Gynecologist
"আমার প্রস্রাবে জ্বালাপোড়া করে।",Gynecologist
"আমার স্তন থেকে দুধের মতো পদার্থ বের হয়।",Gynecologist
"আমার জরায়ুতে টিউমার হয়েছে।",Gynecologist
"আমার যোনিপথ দিয়ে রক্তপাত হয়।",Gynecologist
"আমার মেনোপজ হয়ে গেছে।",Gynecologist
"আমি পরিবার পরিকল্পনা পদ্ধতি সম্পর্কে জানতে চাই।",Gynecologist
"আমি গর্ভপাত করতে চাই।",Gynecologist
"আমি সিজারিয়ান অপারেশন করতে চাই।",Gynecologist
"আমার যোনিপথ শুকনো থাকে।",Gynecologist
"আমার সহবাসের সময় ব্যথা হয়।",Gynecologist
"আমার স্তনের আকার পরিবর্তন হয়েছে।",Gynecologist
"আমার যোনিপথে দুর্গন্ধ হয়।",Gynecologist
"আমার মাসিক দুই-তিন মাস পর পর হয়।",Gynecologist
"মাসিকের সময় অতিরিক্ত রক্তপাত হয়।",Gynecologist
"সাদা স্রাবের সাথে দুর্গন্ধ এবং চুলকানি আছে।",Gynecologist
"তলপেটের ডান পাশে তীব্র ব্যথা হয়।",Gynecologist
"আমার বাম স্তনে একটি শক্ত চাকা অনুভব করছি।",Gynecologist
"বিয়ের দুই বছর হয়ে গেলেও বাচ্চা হচ্ছে না।",Gynecologist
"শেষ মাসিক মিস করেছি, আমি কি গর্ভবতী?",Gynecologist
"আমার যোনিপথে লালচে র‍্যাশ এবং চুলকানি হচ্ছে।",Gynecologist
"প্রস্রাবের সময় জ্বালা করে এবং হলুদ রঙের প্রস্রাব হয়।",Gynecologist
"আমার স্তন থেকে সবুজ রঙের পদার্থ বের হচ্ছে।",Gynecologist
"ডাক্তার বলেছেন আমার জরায়ুতে ছোট ছোট টিউমার আছে।",Gynecologist
"মাসিক ছাড়াই হঠাৎ করে রক্তপাত হচ্ছে।",Gynecologist
"আমার বয়স ৫০, মাসিক পুরোপুরি বন্ধ হয়ে গেছে।",Gynecologist
"জন্মনিয়ন্ত্রণের জন্য কোন পদ্ধতিটি আমার জন্য ভালো হবে?",Gynecologist
"আমি গর্ভপাত করাতে চাই, নিয়মাবলী জানতে চাই।",Gynecologist
"আমার দ্বিতীয় বাচ্চা সিজার করতে হবে কিনা জানতে চাই।",Gynecologist
"আমার যোনিপথ খুব শুকনো এবং সহবাসে সমস্যা হয়।",Gynecologist
"সহবাসের সময় তীব্র ব্যথা অনুভব করি।",Gynecologist
"আমার স্তনের বোঁটা ভেতরে ঢুকে গেছে।",Gynecologist
"আমার যোনিপথ থেকে মাছের আঁশের মতো গন্ধ আসে।",Gynecologist
"আমার মাসিক অনিয়মিত এবং পরিমাণে খুব কম হয়।",Gynecologist
"মাসিকের সময় জমাট বাঁধা রক্ত যায়।",Gynecologist
"আমার হলদেটে সাদা স্রাব হয়।",Gynecologist
"তলপেটে ভারী এবং চাপ চাপ অনুভূতি হয়।",Gynecologist
"আমার দুটো স্তনেই ছোট ছোট চাকা হয়।",Gynecologist
"বাচ্চা নেওয়ার জন্য কি কি পরীক্ষা করতে হবে?",Gynecologist
"গর্ভধারণের প্রাথমিক লক্ষণগুলো কি কি?",Gynecologist
"যোনিপথে ছত্রাকের সংক্রমণ হয়েছে।",Gynecologist
"প্রস্রাব করার পর ফোঁটা ফোঁটা প্রস্রাব পড়ে।",Gynecologist
"আমার একটি স্তন অন্যটির চেয়ে বড় হয়ে গেছে।",Gynecologist
"জরায়ুমুখে ঘা হয়েছে, ডাক্তার বলেছে।",Gynecologist
"মাসিক চক্রের মাঝামাঝি সময়ে হালকা রক্তপাত হয়।",Gynecologist
"মেনোপজের পর কি কি সমস্যা হতে পারে?",Gynecologist
"আমি কপার-টি লাগাতে চাই।",Gynecologist
"মেডিক্যাল অ্যাবরশন সম্পর্কে জানতে আগ্রহী।",Gynecologist
"নরমাল ডেলিভারির জন্য কি করতে হবে?",Gynecologist
"সহবাসের পর যোনিপথে জ্বালাপোড়া করে।",Gynecologist
"স্তনের ত্বকে কমলার খোসার মতো দেখা যায়।",Gynecologist
"আমার মাসিক অনিয়মিত হয়ে গেছে, কখনো একমাস বন্ধ থাকে।",Gynecologist
"পিরিয়ডের সময় অনেক ক্লট বের হয় এবং তলপেটে খুব ব্যথা করে।",Gynecologist
"আমি দীর্ঘদিন ধরে সাদা স্রাবের সমস্যায় ভুগছি।",Gynecologist
"পিরিয়ডের সময় রক্তের পরিমাণ কম হয় এবং কালচে রঙের হয়।",Gynecologist
"আমার প্রেগন্যান্সির ৩ মাস চলছে, মাঝে মাঝে পেটের নিচে ব্যথা করে।",Gynecologist
"বিয়ের অনেকদিন পরও আমি মা হতে পারছি না।",Gynecologist
"আমার পিরিয়ডের সময় ১০ দিনের বেশি রক্তপাত হয়।",Gynecologist
"পিরিয়ড বন্ধ হয়ে গেছে ৪ মাস ধরে, আমি প্রেগন্যান্ট নই।",Gynecologist
"প্রসবের পর থেকে তলপেটে চাপ অনুভব করি।",Gynecologist
"গর্ভধারণের প্রথম দিকে রক্তপাত হয়েছিল।",Gynecologist
"পিরিয়ড হওয়ার আগেই কোমরে ব্যথা শুরু হয়।",Gynecologist
"আমি প্রেগন্যান্সির সময় প্রচুর মাথা ব্যথায় ভুগি।",Gynecologist
"আমার মাসিক সময়ের অনেক আগে বা পরে হয়।",Gynecologist
"প্রেগন্যান্সির দ্বিতীয় ত্রৈমাসিকে পেট শক্ত হয়ে যায়।",Gynecologist
"সিজার করার পর ক্ষত শুকাচ্ছে না।",Gynecologist
"আমি দুই সপ্তাহ ধরে গর্ভনিরোধক খাচ্ছি, কিন্তু রক্তপাত হচ্ছে।",Gynecologist
"প্রসবের সময় প্রচুর রক্তপাত হয়েছিল।",Gynecologist
"আমি গর্ভপাতের পর তলপেটে ব্যথা অনুভব করি।",Gynecologist
"পিরিয়ড বন্ধ হয়ে যাওয়ার পর গরম লাগা ও মাথা ঘোরা হচ্ছে।",Gynecologist
"গর্ভাবস্থায় হাঁটলে তলপেটে চাপ লাগে।",Gynecologist
"আমার স্তন ফুলে গেছে এবং ব্যথা করছে।",Gynecologist
"পিরিয়ডের সময় অতিরিক্ত ক্লান্তি অনুভব করি।",Gynecologist
"আমি প্রথম প্রেগন্যান্সিতে হাই ব্লাড প্রেসারে ভুগি।",Gynecologist
"আমার গর্ভাবস্থায় হালকা রক্তপাত হয় মাঝে মাঝে।",Gynecologist
"প্রেগন্যান্সির সময় প্রস্রাবে জ্বালা হয়।",Gynecologist
"গর্ভপাত হওয়ার পর থেকে অনিয়মিত পিরিয়ড হচ্ছে।",Gynecologist
"আমি পিরিয়ডের আগে বমি বমি ভাব অনুভব করি।",Gynecologist
"সিজার করার পর এখনও ব্যথা অনুভব করি।",Gynecologist
"আমার পিরিয়ডের সময় অতিরিক্ত রক্তক্ষরণ হয়।",Gynecologist
"প্রসবের ৬ মাস পরেও পিরিয়ড শুরু হয়নি।",Gynecologist
"আমি পলিসিস্টিক ওভারির সমস্যায় ভুগছি।",Gynecologist
"পিরিয়ডের সময় মাথা ঘোরে এবং দুর্বল লাগে।",Gynecologist
"গর্ভাবস্থায় অনেকবার প্রস্রাবের বেগ আসে।",Gynecologist
"মাসিকের সময় ঘুমাতে পারি না পেট ব্যথার কারণে।",Gynecologist
"আমি গর্ভবতী কিনা নিশ্চিত নই, কিন্তু পিরিয়ড হয়নি।",Gynecologist
"আমার গর্ভাবস্থায় তলপেটে টান লাগে।",Gynecologist
"পিরিয়ড শুরু হওয়ার আগে মেজাজ খারাপ থাকে।",Gynecologist
"প্রেগন্যান্সির সময় খাবারে অরুচি লাগে।",Gynecologist
"সিজার করার পর জায়গাটা ফুলে আছে।",Gynecologist
"পিরিয়ডের সময় অতিরিক্ত ঘাম হয়।",Gynecologist
"আমি একবার গর্ভপাত করেছি, এখন ভয় লাগছে আবার।",Gynecologist
"প্রেগন্যান্সির দ্বিতীয় মাসে পেটের ডান পাশে ব্যথা।",Gynecologist
"আমার স্তনের নিপল থেকে কিছু তরল বের হয়।",Gynecologist
"পিরিয়ডের সময় বমি হয়ে যায় বারবার।",Gynecologist
"আমি সন্তান নেওয়ার চেষ্টা করছি ১ বছর ধরে।",Gynecologist
"প্রসবের সময় সিজার না কি নরমাল হবে জানি না।",Gynecologist
"আমি প্রেগন্যান্ট, কিন্তু বমি খুব বেশি হচ্ছে।",Gynecologist
"পিরিয়ড চলাকালীন মাথা ঘোরা শুরু হয়।",Gynecologist
"গর্ভাবস্থায় সাদা স্রাব বেড়ে গেছে।",Gynecologist
"গর্ভধারণের পর থেকে বুক ধড়ফড় করে।",Gynecologist
"প্রেগন্যান্সিতে পা ফুলে গেছে।",Gynecologist
"আমার প্রথম সন্তান হওয়ার সময় জটিলতা হয়েছিল।",Gynecologist
"পিরিয়ড শুরু হওয়ার পরে প্রচণ্ড দুর্বলতা অনুভব করি।",Gynecologist
"আমার গর্ভাবস্থার ৫ম মাস চলছে, কিন্তু বাচ্চার নড়াচড়া টের পাই না।",Gynecologist
"প্রেগন্যান্সির সময় বুক ব্যথা করে।",Gynecologist
"মাসিকের পরে পেট শক্ত হয়ে থাকে।",Gynecologist
"গর্ভাবস্থায় শ্বাস নিতে কষ্ট হয়।",Gynecologist
"আমি প্রসবের সময় অতিরিক্ত ব্যথায় অজ্ঞান হয়ে গিয়েছিলাম।",Gynecologist
"আমার যোনিতে চুলকানি এবং সাদা স্রাব হয়।",Gynecologist
"প্রেগন্যান্সির সময় খাওয়া-দাওয়া করতে ইচ্ছা করে না।",Gynecologist
"পিরিয়ডের সময় হাত-পা ঠান্ডা হয়ে যায়।",Gynecologist
"গর্ভপাতের পরে রক্তপাত বন্ধ হচ্ছে না।",Gynecologist
"প্রেগন্যান্সিতে সবসময় ঘুম ঘুম ভাব থাকে।",Gynecologist
"আমি জন্মনিয়ন্ত্রণ বড়ি বন্ধ করার পর থেকেই পিরিয়ড অনিয়মিত।",Gynecologist
"গর্ভধারণের আগেই ডাক্তারের পরামর্শ নিতে চাই।",Gynecologist
"আমার প্রেগন্যান্সিতে ইউরিন ইনফেকশন হয়েছে।",Gynecologist
"আমি মাসিকের ২ দিন আগেই তলপেটে ব্যথা অনুভব করি।",Gynecologist
"আমার সিজার হবার ১ বছর পরেও ব্যথা থাকে।",Gynecologist
"প্রেগন্যান্সির সময় দুধ আসতে শুরু করেছে।",Gynecologist
"আমি পরিবার পরিকল্পনার জন্য পরামর্শ চাই।",Gynecologist
"গর্ভধারণের পর থেকে যৌন মিলনে ব্যথা হয়।",Gynecologist
"আমি দ্বিতীয় বাচ্চা নিতে চাই, কী কী সাবধানতা নিতে হবে?",Gynecologist
"আমার বয়স ৪৫, পিরিয়ড বন্ধ হয়ে গেছে।",Gynecologist
"প্রেগন্যান্সির সময় প্রস্রাব ধরে রাখতে পারি না।",Gynecologist
"আমি PCOS-এ ভুগছি, চিকিৎসা চাই।",Gynecologist
"গর্ভাবস্থায় রক্তচাপ বেশি হচ্ছে।",Gynecologist
"প্রসবের পরে যোনিতে ব্যথা হচ্ছে।",Gynecologist
"পিরিয়ড শুরু হলে অনেক বড় ক্লট বের হয়।",Gynecologist
"আমি গর্ভাবস্থায় খুব হতাশায় ভুগছি।",Gynecologist
"আমার যোনি শুকিয়ে গেছে, ব্যথা হয়।",Gynecologist
"আমি সন্তান ধারণে সমস্যা অনুভব করছি।",Gynecologist
