Problem,Specialist
"আমার প্রায় এক সপ্তাহ ধরে রোদে গেলেই চোখ দিয়ে পানি পড়ে",Ophthalmologist
"আমার বোনের কয়েকদিন ধরে চোখ আর মাথা ব্যথা",Ophthalmologist
"আমার মায়ের কপালের দুই দিকে অনেক ব্যথা করে আর নিচের দিকে ঝুকলে মাথা ব্যথা করে",Ophthalmologist
"আমার চোখ খুব চুলকায় এবং লাল হয়ে যায়।",Ophthalmologist
"আমার বই পড়তে গেলে চোখে ঝাপসা দেখি।",Ophthalmologist
"আমার ডান চোখের পাতা লাফায়।",Ophthalmologist
"আমার সবকিছু হলদেটে দেখি",Ophthalmologist
"আমার সবকিছু দুটো করে দেখি",Ophthalmologist
"আমার চোখ দিয়ে অনবরত পানি পড়ে",Ophthalmologist
"আমার অন্ধকারে চোখে দেখি না",Ophthalmologist
"আমার চোখ টকটকে লাল হয়ে আছে",Ophthalmologist
"আমার চোখের পাতা ফুলে গেছে",Ophthalmologist
"আমার চোখে ছানি পড়েছে",Ophthalmologist
"আমার চোখের পাওয়ার চেক করা দরকার",Ophthalmologist
"আমার চোখে দেখতে অসুবিধা হচ্ছে",Ophthalmologist
"আমার চোখে ঝাপসা দেখছি এবং চোখ ব্যথা করছে।",Ophthalmologist
"আমার বাম চোখ লাল হয়ে আছে এবং ব্যথা করছে।",Ophthalmologist
"আমার চোখের পাতা ফুলে গেছে।",Ophthalmologist
"আমার চোখ দিয়ে পানি পড়ে।",Ophthalmologist
"আমার চোখে দেখতে কষ্ট হচ্ছে।",Ophthalmologist
"আমার চোখ জ্বালা-পোড়া করে।",Ophthalmologist
"আমার চোখে ঝাপসা দেখি।",Ophthalmologist
"আমার চোখ লাল হয়ে গেছে।",Ophthalmologist
"আমার চোখ দিয়ে ময়লা বের হয়।",Ophthalmologist
"আমার চোখ চুলকায়।",Ophthalmologist
"আমার চোখে আলোর দিকে তাকাতে পারি না।",Ophthalmologist
"আমার চোখ দিয়ে পানি পড়ে।",Ophthalmologist
"আমার চোখে দেখতে কষ্ট হচ্ছে।",Ophthalmologist
"আমার চোখ জ্বালা-পোড়া করে।",Ophthalmologist
"আমার চোখে ঝাপসা দেখি।",Ophthalmologist
"আমার চোখ লাল হয়ে গেছে।",Ophthalmologist
"আমার চোখ দিয়ে ময়লা বের হয়।",Ophthalmologist
"আমার চোখ চুলকায়।",Ophthalmologist
"আমার চোখে আলোর দিকে তাকাতে পারি না।",Ophthalmologist
"আমার চোখের পাতা ফুলে গেছে।",Ophthalmologist
"আমার চোখে ব্যথা হয়।",Ophthalmologist
"আমার চোখের পাতা কাঁপে।",Ophthalmologist
"আমার চোখে আলোর ঝলকানি দেখি।",Ophthalmologist
"আমার চোখের সামনে কালো দাগ ভাসে।",Ophthalmologist
"আমার চোখের পাতা খুলতে কষ্ট হয়।",Ophthalmologist
"আমার চোখের পাতা বন্ধ হয় না।",Ophthalmologist
"আমার চোখের পাতা ঝুলে পড়েছে।",Ophthalmologist
"আমার চোখে ছানি পড়েছে।",Ophthalmologist
"আমার চোখের প্রেসার বেড়েছে।",Ophthalmologist
"আমার চোখে গ্লুকোমা হয়েছে।",Ophthalmologist
"আমার চোখে এলার্জি হয়েছে।",Ophthalmologist
"আমার চোখে অঞ্জনি হয়েছে।",Ophthalmologist
"আমার চোখে আঘাত লেগেছে।",Ophthalmologist
"আমার চোখে কিছু পড়েছে।",Ophthalmologist
"আমার চোখে চশমা লাগবে।",Ophthalmologist
"আমার চোখের চশমার পাওয়ার পরিবর্তন করতে হবে।",Ophthalmologist
"আমার চোখে কন্টাক্ট লেন্স পরতে চাই।",Ophthalmologist
"আমার চোখে লেজার সার্জারি করতে চাই।",Ophthalmologist
"আমার চোখে ছানি অপারেশন করতে হবে।",Ophthalmologist
"আমার চোখে গ্লুকোমা অপারেশন করতে হবে।",Ophthalmologist
"আমার চোখে নেত্রনালী অপারেশন করতে হবে।",Ophthalmologist
"আমার চোখে ট্যারা অপারেশন করতে হবে।",Ophthalmologist
"আমার চোখে কৃত্রিম চোখ লাগাতে হবে।",Ophthalmologist
"আমার চোখে দেখতে পাই না।",Ophthalmologist
"আমার চোখ কানা হয়ে গেছে।",Ophthalmologist
"আমার চোখ নষ্ট হয়ে গেছে।",Ophthalmologist
"আমার চোখ তুলে ফেলতে হবে।",Ophthalmologist
"আমার চোখ দান করতে চাই।",Ophthalmologist
"আমার চোখ পরীক্ষা করতে চাই।",Ophthalmologist
"আমার চোখ দেখাতে চাই।",Ophthalmologist
"আমার চোখের ডাক্তার দেখাতে চাই।",Ophthalmologist
"আমার চোখ দিয়ে পানি পড়ে।",Ophthalmologist
"চোখ খুব চুলকায়।",Ophthalmologist
"বই পড়লে চোখ ঝাপসা হয়ে যায়।",Ophthalmologist
"চোখের পাতা লাফায়।",Ophthalmologist
"চোখে রোদ লাগলে খুব অস্বস্তি হয়।",Ophthalmologist
"ঘুম থেকে উঠলে চোখে ময়লা জমে।",Ophthalmologist
"দূরের জিনিস ভালোভাবে দেখতে পারি না।",Ophthalmologist
"চোখের ভেতরে খচখচ করছে।",Ophthalmologist
"ধীরে ধীরে চোখের দৃষ্টি কমে যাচ্ছে।",Ophthalmologist
"সাইনবোর্ড পড়তে পারি না।",Ophthalmologist
