Problem,Specialist
"আমার হাঁটুতে অনেক ব্যথা করে",Orthopedic
"আমার মায়ের হাতের কনুইতে অনেক ব্যথা করে। আবার অনেক সময় মা ঠিক বুঝতে পারে না যে হাত বা পায়ের ঠিক কোথায় ব্যথা করছে।",Orthopedic
"আমার মেয়ে বেশিক্ষন দাঁড়িয়ে থাকতে পারে না। ওর পায়ে ব্যথা করে।",Orthopedic
"আমার পা ফুলে যায় আর অনেক ব্যথা করে।",Orthopedic
"আমি আগের মত জোরে হাঁটতে পারি না, পায়ের গোরালি ব্যথা করে。",Orthopedic
"আমার বাবা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারে না, অনেক যন্ত্রণা করে。",Orthopedic
"আমি প্রায় এক মাস আগে হাঁটুতে ব্যথা পাই কিন্তু এই ব্যথা এখনো ঠিক হয় নি।",Orthopedic
"আমার শরীরের জয়েন্টে অনেক ব্যথা করে।",Orthopedic
"আমার পিঠ, মাজা অনেক ব্যথা করে。",Orthopedic
"আমার মাসেলে অনেক ব্যথা করে, ঘুম ঠিকমত হয় না। অনেক ক্লান্ত লাগে。",Orthopedic
"আমার হাত ভেঙ্গে গিয়েছে",Orthopedic
"আমি সিঁড়ি থেকে পরে পায়ে অনেক ব্যথা পাই। হাঁটতে পারছি না একদমই",Orthopedic
"আমার বাম হাতে জোর পাচ্ছি না। কোনো কাজ করতে পারছি না।",Orthopedic
"আমার বাবার হাঁটুঁতে ব্যথা করে",Orthopedic
"আমার শরীরের গিরায় গিরায় ব্যথা",Orthopedic
"আমার পায়ের গোরালিতে ব্যথা করে। বেশিক্ষন দাঁড়িয়ে থাকতে পারি না",Orthopedic
"আমার হাতের আঙ্গুলে ব্যথা করে",Orthopedic
"আমার মায়ের কোমরে ব্যথা করে। ঠিকমত উঠা বসা করতে পারে না",Orthopedic
"আমার মায়ের ঘাড় থেকে শুরু করে পিঠ পর্যন্ত ব্যথা করে",Orthopedic
"আমার হাত পায়ের জয়েন্টে অনেক ব্যথা করে",Orthopedic
"আমার মেয়ের হাত মচকে গিয়েছে নাড়াতে পারছে না",Orthopedic
"আমার নাতনির বাম পা ভেঙ্গে গিয়েছে",Orthopedic
"আমার আম্মু হঠাৎ করে হাত নাড়াতে পারছে না",Orthopedic
"আমার মা বাথরুমের ভিতরে পরে গিয়েছিলো। এখন হাঁটতে পারছে না ব্যথায়। পায়ে অনেক ব্যথা পাচ্ছে দাঁড়াতেই পারছে না",Orthopedic
"আমার মেয়ে হঠাৎ করে হাত নাড়াতে পারছে না অনেক ব্যথা পাচ্ছে",Orthopedic
"আমার ছেলের হঠাৎ করে হাতে অনেক ব্যথা পাচ্ছে নাড়াতে পারছে না",Orthopedic
"আমার শরীর খুব ব্যথা করে আর ব্যথাটা একেক সময় একেক জায়গায় করে",Orthopedic
"আমার ছেলের হাঁটুতে অনেক ব্যথা করে ও হাঁটার সময় পা বাকা করে ফেলে",Orthopedic
"আমার মায়ের পায়ের গোরালি অনেক ব্যথা করে আর পায়ে পানি আসে",Orthopedic
"আমি দাঁড়ালে কেমন যেন মনে হয় পায়ের নিচে কিছু বাধছে",Orthopedic
"আমার বাবার শরীর খুব ব্যথা করে আর ব্যথাটা একেক সময় একেক জায়গায় করে",Orthopedic
"আমার ছেলে হঠাৎ করে পা নাড়াতে পারছে না",Orthopedic
"আমার মাজা অনেক বেশি ব্যথা করে আমি তখন একদমই উঠা বসা করতে পারি না",Orthopedic
"আমার বাবা পরে গিয়ে হাতে ব্যথা পেয়েছিলো এখন বাবা হাত একদমই নাড়াতে পারছে না",Orthopedic
"আমি হোচট খেয়ে পরে যাওয়াতে পায়ে অনেক ব্যথা পাই প্রায় ১ মাস হয়েছে। ঐ জায়গার ব্যথা এখনো কমে নাই আর এখনো কালচে দাগ পরে আছে",Orthopedic
"আমার মাজা, হাঁটুতে প্রচন্ড ব্যথা করে",Orthopedic
"আমার মেয়ের মাজা, হাঁটুতে প্রচন্ড ব্যথা করে",Orthopedic
"আমার বাবার মাজা, হাতের কনুই আর পায়ের হাঁটুতে প্রচন্ড ব্যথা করে",Orthopedic
"আমি ভাড়ি কোনো জিনিস বহন করতে পারি না মাজা, হাত প্রচন্ড ব্যথা করে",Orthopedic
"আমার বাবা ভাড়ি কোনো জিনিস বহন করতে পারি না মাজা, হাত প্রচন্ড ব্যথা করে",Orthopedic
