Problem,Specialist
"আমার পেটে ব্যথা এবং বমি হচ্ছে।",Surgery
"আমার অ্যাপেন্ডিসাইটিসের ব্যথা উঠেছে।",Surgery
"আমার পিত্তথলিতে পাথর হয়েছে।",Surgery
"আমার হার্নিয়া হয়েছে।",Surgery
"আমার স্তনে একটি চাকা হয়েছে।",Surgery
"আমার পাইলসের সমস্যা আছে।",Surgery
"আমার ফিস্টুলা হয়েছে।",Surgery
"আমার শরীরে একটি টিউমার হয়েছে।",Surgery
"আমার পা ভেঙে গেছে।",Surgery
"আমার মাথায় আঘাত লেগেছে।",Surgery
"আমার হাত কেটে গেছে।",Surgery
"আমার শরীরে একটি ফোঁড়া হয়েছে।",Surgery
"আমার গলগণ্ড হয়েছে।",Surgery
"আমার অণ্ডকোষ ফুলে গেছে।",Surgery
"আমার প্রোস্টেট গ্রন্থি বড় হয়ে গেছে।",Surgery
"আমার কিডনিতে পাথর হয়েছে।",Surgery
"আমার মূত্রনালীতে পাথর হয়েছে।",Surgery
"আমার নাভির পাশে ব্যথা হয়।",Surgery
"আমার কুঁচকিতে ব্যথা হয়।",Surgery
"আমার পায়খানার সাথে রক্ত যায়।",Surgery
"আমার পেটের ডান পাশে তীব্র ব্যথা।",Surgery
"আমার নাভি ফুলে গেছে এবং ব্যথা করে।",Surgery
"আমার বুকের ডান দিকে ব্যথা হয়।",Surgery
"আমার পেটে একটি শক্ত চাকা অনুভূত হয়।",Surgery
"আমার পায়খানার রাস্তা দিয়ে মাংসপিণ্ড বেরিয়ে আসে।",Surgery
"আমার পায়খানার রাস্তায় খুব ব্যথা এবং জ্বালাপোড়া করে।",Surgery
"আমার পিঠে একটি বড় ফোঁড়া হয়েছে।",Surgery
"আমার ঘাড়ে একটি টিউমার হয়েছে।",Surgery
"আমার হাতে একটি বড় তিল হয়েছে যেটি দেখতে পরিবর্তন হচ্ছে।",Surgery
"আমার পায়ের আঙুলে ইনফেকশন হয়েছে।",Surgery
"আমার পেটে গ্যাস জমে এবং পেট ফুলে থাকে।",Surgery
"আমার পিত্তথলির পাথর অপারেশনের জন্য ডাক্তার দেখাতে হবে।",Surgery
