Problem,Specialist
আমার মা বসা অবস্থা থেকে দাঁড়ালে কেমন যেন মনে হয় পায়ের নিচে কিছু বাধছে,Orthopedic
আমার মাথা ঘোরায় আর বমির ভাব হয় আর আমি বেশিক্ষন দাঁড়িয়ে থাকতে পারি না,Medicine
আমার একটু পরপরই ঢেক আসছে আর গলা জলছে। আর বমির ভাব হয়ে আছে।,Medicine
ভাইয়া আমার সবসময় মনে হয় আমি যদি কোনো ডাক্তার এর কাছে যায় তাহলে আমি শিরক করছি। কারন আমার খালি এটা মনে হয় যে আমি আল্লাহর কাছে সাহায্য না চেয়ে ডাক্তার এর কাছে যাচ্ছি।,Psychiatrist
"অতিরিক্ত ঘুম কিভাবে কমানো যায়? 
রাত ৮ টার সময় ঘুমাই সকাল ১০/১১ টার সময় উটি আবার দুপুরে বাধ্যতা মূলক ২/৩ ঘন্টা ঘুমাতে হয়।
ঘুম কিভাবে কমানো যায় কেউ সুপরামর্শ দেন।",Psychiatrist
কারো কি বুকে সবসময় অস্বস্তি/চাপ লাগে? সারাদিন ভালো থাকলে রাতে অস্বস্তি টা বেড়ে যায়।,Psychiatrist
আমি শক্ত কিছু খেতে গেলেই আমার দাঁত ভেঙ্গে যাচ্ছে,Dentist
আমার আম্মু ডিভোর্স হয়েছে তিনি এখন নতুন একটা বিয়ে করতে চাচ্ছে এটা কি কোন ভাবে ঠিক হবে কিনা??,Psychiatrist
আমার পেট ফুলে শক্ত হয়ে আছে আর অনেক ভাড়ি মনে হচ্ছে।,Medicine
আমার বাম হাতে জোর পাচ্ছি না। কোনো কাজ করতে পারছি না।,Orthopedic
"পিরিয়ডের সময় আমার অনেক পেট ব্যথা হয় আর অনেক রক্তপাত হয়, শরীর অনেক দুর্বল হয়ে পড়ে আর খাওয়ায় অরুচি আসে",Gynecologist
